Country,Year,PM2.5,PM10,NO2,Depression (%),Anxiety disorders (%),PM2.5/NO2 Ratio,Pollution Category,Depression Change (%),Anxiety Change (%)
Greece,2016,17.05142857142857,32.2,26.63375,4.208264,5.794717,0.6402188415611234,Medium,-0.023495000000000488,-0.003800999999999277
Greece,2017,16.45875,28.73785714285714,28.843846153846155,4.185864,5.790228,0.5706156492519401,Medium,-0.022400000000000198,-0.004489000000000409
Guatemala,2013,40.88,56.125,34.75,3.28505,2.898381,1.176402877697842,High,,
Guatemala,2014,35.17,46.75,41.67,3.265867,2.900451,0.8440124790016799,Medium,-0.01918299999999995,0.0020699999999997942
Hungary,2010,21.6425,29.776315789473685,20.97833333333333,2.767358,3.464218,1.0316596488440455,Medium,,
Hungary,2013,17.023333333333333,26.223157894736843,19.34777777777778,2.752576,3.461858,0.8798598748061792,Medium,-0.014782000000000295,-0.0023599999999999177
Hungary,2014,15.8525,25.30333333333333,18.820625,2.753656,3.460273,0.8422940258360176,Medium,0.0010799999999999699,-0.0015849999999999476
Hungary,2016,10.13,24.03,18.81823529411765,2.758478,3.45659,0.5383076490262886,Low,0.004822000000000326,-0.003683000000000103
Hungary,2017,14.85,27.145294117647055,20.31,2.765242,3.454657,0.7311669128508125,Medium,0.006763999999999992,-0.0019329999999997405
Iceland,2010,7.735,20.95,7.23,3.358979,5.280214,1.06984785615491,Low,,
Iceland,2014,7.640000000000001,6.03,2.985,3.361046,5.294874,2.559463986599665,Low,0.002066999999999819,0.014660000000000117
Iceland,2015,6.43,9.5225,11.4525,3.360755,5.294539,0.5614494651822746,Low,-0.0002909999999998192,-0.00033499999999975216
Iceland,2016,6.695,8.907499999999999,8.215,3.360144,5.29282,0.8149726110772977,Low,-0.0006110000000001392,-0.0017190000000004702
Iceland,2017,5.2,10.2425,7.814444444444444,3.361665,5.290988,0.6654343807763402,Low,0.0015209999999998836,-0.0018320000000002779
India,2016,39.38616438356164,98.44258064516129,22.59691358024692,3.520805,3.298067,1.7429886716029679,High,,
India,2017,39.31032258064516,95.31203389830507,22.6059375,3.529853,3.301939,1.738937948521054,High,0.009047999999999945,0.0038719999999998755
Ireland,2010,11.46,17.084999999999997,17.576666666666668,4.344662,5.818125,0.6520007585814527,Low,,
Ireland,2013,10.876,16.52375,13.262857142857143,4.317934,5.828983,0.8200344679017664,Low,-0.02672799999999942,0.010857999999999812
Ireland,2014,7.57,14.72375,7.186,4.301374,5.831698,1.0534372390759812,Low,-0.01656000000000013,0.002715000000000245
Ireland,2015,7.025999999999999,13.292857142857144,6.658333333333334,4.286581,5.83418,1.0552190237797243,Low,-0.014793000000000056,0.002481999999999651
Ireland,2016,8.866666666666667,13.75,14.577777777777776,4.269448,5.836752,0.6082317073170733,Low,-0.017133000000000287,0.0025719999999997967
